id	split	duration_bin_seconds	duration_seconds	speaker_id	speaker_gender	source_id	source_flac_blake3	wav_blake3	transcript_blake3
librispeech-test-clean-6829-68769-0026	test-clean	01-05	4.640000	6829	F	6829-68769-0026	33039f9297cf1a0ca4d9c0c71fd439aa66dbcd833b2fd6ad0a5442430fcbcf1d	502ed2e954b74a1d77b5ce02239e6c8d528af9e60fd626ea2240639daf70cf3e	7f9f785eae773e015e61972aa2a93e6a9f47fa7fa0e259b2623e2fa73951dcb4
librispeech-test-clean-1995-1836-0011	test-clean	01-05	4.705000	1995	F	1995-1836-0011	aa80a22b9a4b56eeae74e79a9011082369f0a47329e9f1e65971d91824ef8373	c4ffa928c3bfdaa33fee64409fabec343f10e4960de3a9ea107c00b306c8cb23	d864f72f645c084f8c4d96d0be52afd5906f69dd480c03bed6751c226a8b6e74
librispeech-test-clean-7176-92135-0026	test-clean	01-05	2.950000	7176	M	7176-92135-0026	7a94255e000a97f61f95f619bc17ca5e504da1a5ef633b0f83cfb9eeb4812d2f	c981693c2bb3c6bc4f9e821914792d3c241069813381da25a49ffcfb8e987e82	d8acd241fa36feb7b278712d966d3dc53853baf5edbd5009ea2822c2b9eeac10
librispeech-test-clean-8455-210777-0037	test-clean	01-05	4.735000	8455	M	8455-210777-0037	690cd8d8e48e35ad1efa5a3fcc1e55d6e4b1fe188d222e0acf3a135735ecba18	4af01cdeee8a5a5184058de7d3ed73eb59e635a512b7a9eac12d8bc4e78bcd6a	704bb6a10104426ba8b1506e0d6e41901e53b46ca81206d263f2fdc90b5d3d7f
librispeech-test-clean-5142-33396-0067	test-clean	05-10	5.565000	5142	F	5142-33396-0067	4182b318f43ca0f4afac6bae4d87334cd495e0b1a5d739c0bc59f5918349d23f	5abfb6e082e14a3ec3a7afb77decf3062b9943e6d83eba11b785793ae2ea8b95	c935bcb849da77c2af967329fd03de8553f49b8035481cd5c091c3b986709aaa
librispeech-test-clean-8463-287645-0011	test-clean	05-10	6.380000	8463	F	8463-287645-0011	bfb18643fb08ee37c080f53b8503ce8d23234be7133ebb9f6473b3ce172f2331	dc41d40a1c892466546df0b77f4c7c993b45edc351336546805b6535b4266b87	6a8d49740c01fb37aaadaa86e4a63944bfb24f9df17093a9acd40996d127dc3d
librispeech-test-clean-7021-85628-0005	test-clean	05-10	5.015000	7021	M	7021-85628-0005	778bbe6738a2e42cf3dc54a59cf52363333a3910fa401ca892646d5f9eeebca8	a7f3cfc458a0b59e6565aab295f035b5a7c734ec405c3c09e50ac87d22424b0c	e57dd4eabfbe2d31d05588ffb0300a07c2616c132a14fdcdd9b10c385d00b4ce
librispeech-test-clean-260-123288-0027	test-clean	05-10	6.305000	260	M	260-123288-0027	36401650d578678b3fb54b87ff2e35a59ade3ac8be1b4c702723703f037b1499	46ce06da89598e1063b2e47b984d2f0112e12f8391dee99ceb0bd413d553340e	f27ef91f02477d97286df6f02fd42552104b09ebeb3fe13d67a62a8489a6ac3e
librispeech-test-clean-5683-32865-0005	test-clean	10-20	10.120000	5683	F	5683-32865-0005	275879799b310768ff56dbb57b284e9c419728be1d82c890c2a4aa369fc49ae8	5bc40263bd2d7f8720a3b43bc21a9bf8132b3ec82f378ef169b1996c83a0fdcf	5566214757f4678d21eeac801bc4406a95c2eaaaff376f3e90f12bd3877bb7b7
librispeech-test-clean-2961-960-0021	test-clean	10-20	15.785000	2961	F	2961-960-0021	33a0ef1e7f628a5225e5086e912ca8efb1935a994b0d57e82ed18c5bc685c6ad	d2065dc9d413350ed1d8792b554419f7612cba8275052b2cd3ce91087f43d669	f311ccec6f0890d009a0de46b7e9f968190f84f7e890e10505086af86db9706c
